2023-05-31 17:39:30.370 [jobmanager-io-thread-1] INFO  o.a.f.r.scheduler.adapter.DefaultExecutionTopology - Built 1 new pipelined regions in 0 ms, total 1 pipelined regions currently.
2023-05-31 17:39:30.375 [jobmanager-io-thread-1] INFO  org.apache.flink.runtime.jobmaster.JobMaster - No state backend has been configured, using default (HashMap) org.apache.flink.runtime.state.hashmap.HashMapStateBackend@7b9c1988
2023-05-31 17:39:30.376 [jobmanager-io-thread-1] INFO  org.apache.flink.runtime.state.StateBackendLoader - State backend loader loads the state backend as HashMapStateBackend
2023-05-31 17:39:30.376 [jobmanager-io-thread-1] INFO  org.apache.flink.runtime.jobmaster.JobMaster - Checkpoint storage is set to 'jobmanager'
2023-05-31 17:39:30.401 [jobmanager-io-thread-1] INFO  o.a.flink.runtime.checkpoint.CheckpointCoordinator - No checkpoint found during restore.
2023-05-31 17:39:30.407 [jobmanager-io-thread-1] INFO  org.apache.flink.runtime.jobmaster.JobMaster - Using failover strategy org.apache.flink.runtime.executiongraph.failover.flip1.RestartPipelinedRegionFailoverStrategy@702b4460 for Flink Streaming Job (e14dd5d7679c9d9f3f0a665935f8a033).
2023-05-31 17:39:30.414 [jobmanager-io-thread-1] INFO  o.a.f.r.h.nonha.embedded.EmbeddedLeaderService - Received confirmation of leadership for leader akka://flink/user/rpc/jobmanager_3 , session=e1cf3635-a7c1-47cb-b31c-66e3a74687b8
2023-05-31 17:39:30.416 [flink-akka.actor.default-dispatcher-8] INFO  org.apache.flink.runtime.jobmaster.JobMaster - Starting execution of job 'Flink Streaming Job' (e14dd5d7679c9d9f3f0a665935f8a033) under job master id b31c66e3a74687b8e1cf3635a7c147cb.
2023-05-31 17:39:30.418 [flink-akka.actor.default-dispatcher-8] INFO  org.apache.flink.runtime.jobmaster.JobMaster - Starting scheduling with scheduling strategy [org.apache.flink.runtime.scheduler.strategy.PipelinedRegionSchedulingStrategy]
2023-05-31 17:39:30.418 [flink-akka.actor.default-dispatcher-8] INFO  o.a.flink.runtime.executiongraph.ExecutionGraph - Job Flink Streaming Job (e14dd5d7679c9d9f3f0a665935f8a033) switched from state CREATED to RUNNING.
